regcode;regname;ufcode;ufname;microcode;microname;pop;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
1;Norte;11;RO;11001;Porto Velho;  540320; 156915,504;0,3227222; 46022,7552;1,935708;0,3965219;0,05082210;1,0457600;0,20604657;0,4959348;0,147501688;4,1572979;4,8803190;1,4028939;1,4051231;2,8557768;2,4155593;1,1689511;0,85235181; 951,6499;0,142021528;0,018933353;0,023730921;0,11767980;0,2345440;0,022495966;0,027079076;68,36382;75,62732;51,10628;57,76711;33,95832;38,86378;18,51618;21,58847;  5633; 12088; 117220; 266631;  7163; 12679; 125213; 253424;  5514; 11609;  66083;  7439; 5041; 183802; 313725
1;Norte;11;RO;11002;Guajará-Mirim;   71369;  18974,000;0,3172236;  7031,0410;2,471219;0,4990524;0,06969345;1,0505387;0,16343213;0,5819686;0,097791661;4,1487800;4,3797662;1,0242436;1,0370768;1,4991127;1,2594128;0,5256475;0,36633553; 565,0338;0,225134446;0,019504208;0,026565030;0,09118591;0,1979751;0,022531223;0,029816505;70,83338;78,39302;53,59688;60,67184;35,98384;41,56716;20,15212;23,81584;   483;  1587;  15269;  32731;   605;  1428;  16658;  34507;   490;  1016;   8887;   301;  641;  20243;  34482
1;Norte;11;RO;11003;Ariquemes;  171150;  47320,000;0,3139476; 14408,0616;2,043058;0,4291509;0,06944305;1,0637887;0,22131194;0,4511636;0,178952892;4,5432150;5,0366713;0,9057480;0,9667501;1,5030233;1,1143255;0,6258977;0,31243950; 650,4590;0,180181973;0,013597238;0,015803907;0,09556241;0,2445408;0,015575947;0,018536898;69,43715;77,58524;51,84396;59,18409;35,39394;40,09005;20,23458;22,34060;  1825;  4652;  31708;  83018;  1926;  3558;  37247;  89118;  1518;  3296;  16158;  1129; 1347;  58646;  88537
1;Norte;11;RO;11004;Ji-Paraná;  295466;  84295,000;0,3108132; 22953,6957;1,837846;0,3835036;0,08321370;1,0107388;0,21526663;0,4546722;0,151351681;4,7002458;5,1594086;0,9976535;1,0547061;1,6440615;1,2747661;0,6533555;0,40812117; 686,8318;0,170758955;0,024621329;0,023948460;0,10675570;0,2109715;0,028370361;0,026612261;69,75203;75,89155;52,30540;58,51839;34,94988;39,51220;19,10830;22,01513;  3046;  8367;  56962; 155908;  3480;  6782;  63958; 156964;  2692;  6086;  31046;  2690; 1977; 101208; 156242
1;Norte;11;RO;11005;Alvorada D'Oeste;   70184;  19039,000;0,3058459;  5501,9389;1,968443;0,4132426;0,07791997;1,0797108;0,21291148;0,5316760;0,128113974;4,2779764;4,5944881;0,6394481;0,7238936;0,8621233;0,7081309;0,3611894;0,18540106; 513,7875;0,297858812;0,027006791;0,023193421;0,09501703;0,1756790;0,030093902;0,025417057;72,61836;76,08937;55,02969;58,89954;37,31363;39,87601;21,01567;22,02736;   479;  1343;  11984;  26132;   748;  1481;  17095;  36962;   670;  1418;   9604;   304;  654;  19642;  35522
1;Norte;11;RO;11006;Cacoal;  228212;  65343,000;0,3045315; 17471,9751;1,825764;0,3760569;0,08226398;1,0222238;0,18917562;0,4888227;0,133366513;5,1250085;5,4316438;1,0143102;1,1428421;1,5210562;1,2422071;0,7768923;0,40214334; 684,4080;0,180471848;0,020551883;0,020450816;0,09679469;0,1862321;0,022707832;0,024119361;70,90799;77,13153;53,26129;59,22455;35,45454;40,11717;19,16884;22,43545;  2631;  6182;  48821; 120941;  3178;  5337;  49179; 122147;  2458;  5175;  26299;  2729; 1837;  82619; 130264
1;Norte;11;RO;11007;Vilhena;  132677;  38657,000;0,3125954; 10644,1566;1,852251;0,3864813;0,07390107;1,0132469;0,19377452;0,5031156;0,129380010;3,8983102;4,2269629;1,0214179;1,0740554;1,8180876;1,3592967;0,8297977;0,49389447; 802,4591;0,129642867;0,013975728;0,024528993;0,09440913;0,2051501;0,016767235;0,027884719;69,54378;78,12209;52,28669;59,82693;34,79523;40,64996;18,76903;22,97366;  1563;  3738;  23630;  64581;  1987;  3412;  24396;  68793;  1509;  3348;  12108;  1399;  971;  53879;  77551
1;Norte;11;RO;11008;Colorado do Oeste;   53031;  14645,000;0,3003756;  3975,5027;1,867709;0,3678298;0,09699778;1,0431901;0,18982536;0,6143760;0,083302720;2,8793582;3,0753277;0,4534748;0,5590826;0,7642600;0,5708060;0,3653099;0,23043785; 574,8342;0,180930620;0,024314782;0,044623559;0,09797805;0,1884258;0,026340429;0,050429685;68,19787;76,69952;52,77182;59,00744;35,20291;39,82714;18,68161;22,21861;   684;  1586;  11947;  29000;   624;  1239;  11559;  29151;   478;  1162;   5922;   338;  361;  18272;  28578
1;Norte;12;AC;12001;Cruzeiro do Sul;  131505;  32322,000;0,3236805; 16447,9472;3,352390;0,6895833;0,06758112;1,0321265;0,12813082;0,6880204;0,044173933;4,6075910;5,0852316;0,7592882;0,8100276;1,6735199;1,3079454;0,6293220;0,30705977; 453,1378;0,306346024;0,018715547;0,024287802;0,10219769;0,1964677;0,022251444;0,027831826;71,28434;78,36500;54,12895;60,57716;36,84427;41,57262;20,84987;24,15303;   456;  2153;  18063;  51230;   569;  2164;  25418;  62751;   867;  2912;  15713;   128; 2581;  40085;  71795
1;Norte;12;AC;12002;Tarauacá;   74579;  16932,000;0,3055162; 10465,1171;4,212606;0,7852652;0,07055371;1,0660147;0,14912170;0,7089737;0,053125981;6,5289367;6,5433386;0,5588832;0,7822173;1,1334970;0,9937420;0,4238668;0,24234404; 335,3202;0,334022483;0,040661845;0,051602231;0,10968805;0,2171253;0,046904346;0,056704825;68,80722;75,28747;53,82694;59,49756;36,67849;40,64034;21,34940;23,27565;   384;  2276;  12737;  26383;   321;  1928;  17130;  32037;   409;  1597;  14911;    27;  298;  14440;  34351
